Zeit	spH	spO2	NStirrer	sTR	sCO2	sO2	FAirIn	sVR	Zeit_FG	FGlucose	Zeit_FN	Fstickstoff
04:26:01.277000	7.1	10.3	500.0	22.4	1.9	9.1	9.0	6.1	2024-10-1308:43:17	2.0	2024-10-1308:43:17	1.0
04:28:01.286000	7.1	10.3	500.0	22.5	1.9	9.1	9.0	6.1	2024-10-1308:43:22	2.0	2024-10-1308:43:22	1.0
04:30:01.296000	7.1	10.3	500.0	22.5	1.9	9.1	9.0	6.1	2024-10-1308:43:27	2.0	2024-10-1308:43:27	1.0
04:32:01.306000	7.1	10.3	500.0	22.6	1.9	9.1	9.0	6.1	2024-10-1308:43:32	2.0	2024-10-1308:43:32	1.0
04:34:01.315000	7.1	10.3	500.0	22.7	1.9	9.1	9.0	6.1	2024-10-1308:43:37	2.0	2024-10-1308:43:37	1.0
04:36:01.325000	7.1	10.3	500.0	22.7	1.9	9.1	9.0	6.1	2024-10-1308:43:42	2.0	2024-10-1308:43:42	1.0
04:38:01.334000	7.1	10.3	500.0	22.8	1.9	9.1	9.0	6.1	2024-10-1308:43:47	2.0	2024-10-1308:43:47	1.0
04:40:01.344000	7.1	10.3	500.0	22.8	1.9	9.1	9.0	6.1	2024-10-1308:43:52	2.0	2024-10-1308:43:52	1.0
04:42:01.354000	7.1	10.3	500.0	22.9	1.9	9.1	9.0	6.1	2024-10-1308:43:57	2.0	2024-10-1308:43:57	1.0
04:44:01.363000	7.1	10.3	500.0	22.9	1.9	9.1	9.0	6.1	2024-10-1308:44:02	2.0	2024-10-1308:44:02	1.0
04:46:01.373000	7.1	10.3	500.0	23.0	1.9	9.1	9.0	6.1	2024-10-1308:44:07	2.0	2024-10-1308:44:07	1.0
04:48:01.382000	7.1	10.3	500.0	23.0	1.9	9.1	9.0	6.1	2024-10-1308:44:12	2.0	2024-10-1308:44:12	1.0
04:50:01.392000	7.1	10.3	500.0	23.1	1.9	9.1	9.0	6.1	2024-10-1308:44:17	2.0	2024-10-1308:44:17	1.0
04:52:01.402000	7.1	10.3	500.0	23.1	1.9	9.1	9.0	6.1	2024-10-1308:44:22	2.0	2024-10-1308:44:22	1.0
04:54:01.411000	7.1	10.3	500.0	23.2	1.9	9.1	9.0	6.1	2024-10-1308:44:27	2.0	2024-10-1308:44:27	1.0
04:56:01.421000	7.1	10.3	500.0	23.2	1.9	9.1	9.0	6.1	2024-10-1308:44:32	2.0	2024-10-1308:44:32	1.0
04:58:01.430000	7.1	10.3	500.0	23.3	1.9	9.1	9.0	6.1	2024-10-1308:44:37	2.0	2024-10-1308:44:37	1.0
05:00:01.440000	7.1	10.3	500.0	23.3	1.9	9.1	9.0	6.1	2024-10-1308:44:42	2.0	2024-10-1308:44:42	1.0
05:02:01.450000	7.1	10.3	500.0	23.4	1.9	9.1	9.0	6.1	2024-10-1308:44:47	2.0	2024-10-1308:44:47	1.0
05:04:01.459000	7.1	10.3	500.0	23.4	1.9	9.1	9.0	6.1	2024-10-1308:44:52	2.0	2024-10-1308:44:52	1.0
05:06:01.469000	7.1	10.3	500.0	23.5	1.9	9.1	9.0	6.1	2024-10-1308:44:57	2.0	2024-10-1308:44:57	1.0
05:08:01.478000	7.1	10.3	500.0	23.5	1.9	9.1	9.0	6.1	2024-10-1308:45:02	2.0	2024-10-1308:45:02	1.0
05:10:01.488000	7.1	10.3	500.0	23.6	1.9	9.1	9.0	6.1	2024-10-1308:45:07	2.0	2024-10-1308:45:07	1.0
05:12:01.498000	7.1	10.3	500.0	23.6	1.9	9.1	9.0	6.1	2024-10-1308:45:12	2.0	2024-10-1308:45:12	1.0
05:14:01.507000	7.1	10.3	500.0	23.7	1.9	9.1	9.0	6.1	2024-10-1308:45:17	2.0	2024-10-1308:45:17	1.0
05:16:01.517000	7.1	10.3	500.0	23.7	1.9	9.1	9.0	6.1	2024-10-1308:45:22	2.0	2024-10-1308:45:22	1.0
